DateTime,MsgNr,Event,MessageClass,MessageType,MessageStatus
2/4/2022 7:24,1117,PS_CAHU1_FAN_TRIP,ALARM,Alarm High,1
2/4/2022 7:24,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 7:25,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 7:25,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 7:25,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 7:25,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 7:26,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 7:26,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 7:27,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 7:27,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 7:27,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 7:27,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 7:28,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 7:28,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 7:28,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 7:28,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 7:29,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 7:29,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 8:24,1111,DEISEL_TANK1_LOW_LEVEL ALARM,ALARM,Alarm Low,1
2/4/2022 8:24,1112,DEISEL_TANK4_LOW_LEVEL ALARM,ALARM,Alarm Low,1
2/4/2022 8:24,1113,DEISEL_TANK5_LOW_LEVEL ALARM,ALARM,Alarm Low,1
2/4/2022 8:24,1114,DEISEL_TANK6_LOW_LEVEL ALARM,ALARM,Alarm Low,1
2/4/2022 8:24,1111,DEISEL_TANK1_LOW_LEVEL ALARM,ALARM,Alarm Low,1
2/4/2022 8:24,1116,DEISEL_TANK2_LOW_LEVEL ALARM,ALARM,Alarm Low,1
2/4/2022 8:24,1127,DEISEL_TANK3_LOW_LEVEL ALARM,ALARM,Alarm Low,1
2/4/2022 8:24,1113,DEISEL_TANK5_LOW_LEVEL ALARM,ALARM,Alarm Low,1
2/4/2022 9:24,1117,PS_CAHU1_FAN_TRIP,ALARM,Alarm High,1
2/4/2022 9:24,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 9:24,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 9:24,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 9:24,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 9:24,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 10:26,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 10:26,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 10:26,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 10:26,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 10:26,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 10:26,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 10:26,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 10:26,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 10:26,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 10:26,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
2/4/2022 10:26,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
2/4/2022 10:26,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
