name,time,ID,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N3,N4,N5,N6,N7,N8,N9,host,topic
kamal,1643111032193768484,0005,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0005
kamal,1643111032204754100,0013,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0013
kamal,1643111032207916162,0015,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0015
kamal,1643111032210848797,0017,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0017
kamal,1643111032213936025,0018,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0018
kamal,1643111032215928507,0032,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0032
kamal,1643111032218335615,0033,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0033
kamal,1643111032220539406,0035,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0035
kamal,1643111032221935546,0036,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0036
kamal,1643111032223118551,0037,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0037
kamal,1643111032224425556,0039,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0039
kamal,1643111032225196114,0040,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0040
kamal,1643111032227917808,0041,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0041
kamal,1643111032229118593,0042,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0042
kamal,1643111032234045495,0046,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0046
kamal,1643111032236629813,0047,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0047
kamal,1643111033103229584,0005,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0005
kamal,1643111033109842569,0013,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0013
kamal,1643111033118300030,0017,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0017
kamal,1643111033120513069,0018,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0018
kamal,1643111033121340906,0032,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0032
kamal,1643111033125555894,0033,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0033
kamal,1643111033127368714,0039,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0039
kamal,1643111033130886026,0040,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0040
kamal,1643111033132541256,0041,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0041
kamal,1643111033135834544,0042,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0042
kamal,1643111033136596131,0046,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0046
kamal,1643111033139156113,0047,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,18df5fbad6bd,0047
kamal,1643111033194199161,0020,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18df5fbad6bd,0020
