name,time,ID,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N3,N4,N5,N6,N7,N8,N9,host,topic
kamal,1643012651835072577,0015,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0015
kamal,1643012651841166890,0019,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0019
kamal,1643012651843394378,0020,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0020
kamal,1643012651846346311,0023,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0023
kamal,1643012651848003749,0025,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0025
kamal,1643012651854728350,0027,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0027
kamal,1643012651856317506,0029,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0029
kamal,1643012651857453188,0031,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0031
kamal,1643012651862576694,0035,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0035
kamal,1643012651868032558,0037,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0037
kamal,1643012651871265986,0041,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0041
kamal,1643012651875872156,0045,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0045
kamal,1643012651881342333,0048,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0048
kamal,1643012651882344593,0050,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,c45e7c1b11e6,0050
