name,time,ID,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N3,N4,N5,N6,N7,N8,N9,host,topic
kamal,1642325960176304918,010,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,010
kamal,1642325960180450092,009,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,009
kamal,1642325960187549348,020,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,020
kamal,1642325960191127309,021,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,021
kamal,1642325960191722880,022,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,022
kamal,1642325960194299163,023,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,023
kamal,1642325960195946646,024,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,024
kamal,1642325960197536740,027,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,027
kamal,1642325960199118231,028,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,028
kamal,1642325960202991895,030,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,030
kamal,1642325960208095228,033,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,033
kamal,1642325960211039589,037,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,037
kamal,1642325960213923075,039,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,039
kamal,1642325960216106772,038,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,038
kamal,1642325960222264949,047,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,047
kamal,1642325960223670631,045,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,ce1580255fd8,045
