name,time,ID,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N3,N4,N5,N6,N7,N8,N9,host,topic
kamal,1643005554706559465,0012,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0012
kamal,1643005554708731106,0014,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0014
kamal,1643005554712450660,0015,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0015
kamal,1643005554714735136,0018,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0018
kamal,1643005554717586883,0019,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0019
kamal,1643005554725129228,0024,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0024
kamal,1643005554726095077,0025,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0025
kamal,1643005554730741515,0027,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0027
kamal,1643005554736312529,0032,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0032
kamal,1643005554740438610,0034,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0034
kamal,1643005554749731173,0044,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0044
kamal,1643005554750704463,0045,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0045
kamal,1643005554757207221,0048,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1b82b1eeefdf,0048
