name,time,ID,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N3,N4,N5,N6,N7,N8,N9,host,topic
kamal,1642322789589427759,009,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,009
kamal,1642322789594349202,018,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,018
kamal,1642322789597431704,022,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,022
kamal,1642322789602949932,027,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,027
kamal,1642322789608051121,026,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,026
kamal,1642322789609286229,031,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,031
kamal,1642322789611542415,033,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,033
kamal,1642322789615190162,036,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,036
kamal,1642322789618426518,037,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,037
kamal,1642322789622017946,040,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,040
kamal,1642322789628682022,046,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,046
kamal,1642322789630539924,049,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,049
kamal,1642322789631585589,050,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,050
kamal,1642322790487065650,050,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,050
kamal,1642322790493731753,046,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,046
kamal,1642322790523427589,037,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,037
kamal,1642322790571938953,036,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,036
kamal,1642322790576386055,033,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,033
kamal,1642322790583086011,011,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,011
kamal,1642322790583789866,004,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,004
kamal,1642322790585538519,001,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,001
kamal,1642322790586846592,013,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,013
kamal,1642322790587632703,014,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,014
kamal,1642322790589217101,010,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,010
kamal,1642322790590742331,016,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,016
kamal,1642322790592528872,008,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,008
kamal,1642322790593334237,003,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,003
kamal,1642322790595125394,006,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,006
kamal,1642322790596125187,019,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,019
kamal,1642322790598531012,017,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,017
kamal,1642322790599947941,007,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,007
kamal,1642322790600441753,021,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,021
kamal,1642322790603823382,023,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,023
kamal,1642322790604980167,024,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,024
kamal,1642322790608766999,025,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,025
kamal,1642322790610150422,029,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,029
kamal,1642322790612916005,030,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,030
kamal,1642322790614157599,022,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,022
kamal,1642322790615220208,028,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,028
kamal,1642322790616378816,032,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,032
kamal,1642322790618200790,035,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,035
kamal,1642322790622238995,034,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,034
kamal,1642322790626059805,039,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,039
kamal,1642322790626740081,041,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,041
kamal,1642322790627526638,043,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,043
kamal,1642322790637959132,038,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,038
kamal,1642322790638468121,044,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,044
kamal,1642322790639108364,045,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,045
kamal,1642322790640272559,042,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,042
kamal,1642322790640566395,047,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,047
kamal,1642322790640810819,048,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5d57c004e0ad,048
kamal,1642322790736360359,009,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,009
kamal,1642322790767823550,040,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,040
kamal,1642322790787186023,031,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,031
kamal,1642322790809208054,018,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,018
kamal,1642322790815260410,026,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,026
kamal,1642322790864710177,049,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5d57c004e0ad,049
