name,time,ID,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N3,N4,N5,N6,N7,N8,N9,host,topic
kamal,1642313820720828537,001,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,001
kamal,1642313820724025856,005,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,005
kamal,1642313820728113568,003,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,003
kamal,1642313820738532192,016,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,016
kamal,1642313820741044068,020,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,020
kamal,1642313820746993289,023,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,023
kamal,1642313820748592294,025,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,025
kamal,1642313820753183819,027,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,027
kamal,1642313820755214530,029,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,029
kamal,1642313820759094858,032,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,032
kamal,1642313820766146918,037,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,037
kamal,1642313820770056342,040,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,040
kamal,1642313820772512305,041,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,041
kamal,1642313820773598211,045,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,045
kamal,1642313820776171641,044,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,044
kamal,1642313820777490031,047,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,047
kamal,1642313820779474581,048,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,048
kamal,1642313820780728915,050,1,1,1,0.001732,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,b0d66b30c8c8,050
kamal,1642313821638947445,027,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,b0d66b30c8c8,027
kamal,1642313821644305504,048,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,b0d66b30c8c8,048
kamal,1642313821651120566,047,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,b0d66b30c8c8,047
kamal,1642313821655979706,032,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,b0d66b30c8c8,032
kamal,1642313821706673688,016,2,2,2,0.006928,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,b0d66b30c8c8,016
